 close, high, low, open, volume,Date,Ticker
,,,,,1998-02-27,BURL
,,,,,1998-03-31,BURL
,,,,,1998-04-30,BURL
,,,,,1998-05-29,BURL
,,,,,1998-06-30,BURL
,,,,,1998-07-31,BURL
,,,,,1998-08-31,BURL
,,,,,1998-09-30,BURL
,,,,,1998-10-30,BURL
,,,,,1998-11-30,BURL
,,,,,1998-12-31,BURL
,,,,,1999-01-29,BURL
,,,,,1999-02-26,BURL
,,,,,1999-03-31,BURL
,,,,,1999-04-30,BURL
,,,,,1999-05-28,BURL
,,,,,1999-06-30,BURL
,,,,,1999-07-30,BURL
,,,,,1999-08-31,BURL
,,,,,1999-09-30,BURL
,,,,,1999-10-29,BURL
,,,,,1999-11-30,BURL
,,,,,1999-12-31,BURL
,,,,,2000-01-31,BURL
,,,,,2000-02-29,BURL
,,,,,2000-03-31,BURL
,,,,,2000-04-28,BURL
,,,,,2000-05-31,BURL
,,,,,2000-06-30,BURL
,,,,,2000-07-31,BURL
,,,,,2000-08-31,BURL
,,,,,2000-09-29,BURL
,,,,,2000-10-31,BURL
,,,,,2000-11-30,BURL
,,,,,2000-12-29,BURL
,,,,,2001-01-31,BURL
,,,,,2001-02-28,BURL
,,,,,2001-03-30,BURL
,,,,,2001-04-30,BURL
,,,,,2001-05-31,BURL
,,,,,2001-06-29,BURL
,,,,,2001-07-31,BURL
,,,,,2001-08-31,BURL
,,,,,2001-09-28,BURL
,,,,,2001-10-31,BURL
,,,,,2001-11-30,BURL
,,,,,2001-12-31,BURL
,,,,,2002-01-31,BURL
,,,,,2002-02-28,BURL
,,,,,2002-03-28,BURL
,,,,,2002-04-30,BURL
,,,,,2002-05-31,BURL
,,,,,2002-06-28,BURL
,,,,,2002-07-31,BURL
,,,,,2002-08-30,BURL
,,,,,2002-09-30,BURL
,,,,,2002-10-31,BURL
,,,,,2002-11-29,BURL
,,,,,2002-12-31,BURL
,,,,,2003-01-31,BURL
,,,,,2003-02-28,BURL
,,,,,2003-03-31,BURL
,,,,,2003-04-30,BURL
,,,,,2003-05-30,BURL
,,,,,2003-06-30,BURL
,,,,,2003-07-31,BURL
,,,,,2003-08-29,BURL
,,,,,2003-09-30,BURL
,,,,,2003-10-31,BURL
,,,,,2003-11-28,BURL
,,,,,2003-12-31,BURL
,,,,,2004-01-30,BURL
,,,,,2004-02-27,BURL
,,,,,2004-03-31,BURL
,,,,,2004-04-30,BURL
,,,,,2004-05-28,BURL
,,,,,2004-06-30,BURL
,,,,,2004-07-30,BURL
,,,,,2004-08-31,BURL
,,,,,2004-09-30,BURL
,,,,,2004-10-29,BURL
,,,,,2004-11-30,BURL
,,,,,2004-12-31,BURL
,,,,,2005-01-31,BURL
,,,,,2005-02-28,BURL
,,,,,2005-03-31,BURL
,,,,,2005-04-29,BURL
,,,,,2005-05-31,BURL
,,,,,2005-06-30,BURL
,,,,,2005-07-29,BURL
